cellid,int3,int8,int11,int13,int18,int21,h/w
4273,0.024972724709863666,0.05773170940331562,0.043249697913979424,0.04507683063111044,0.13372773749530123,0.07449601524719485,1
4274,0.016408167314915772,0.07749800840195943,0.05403311897009309,0.05130034048363337,0.09416012529355305,0.03238508503364738,0
4275,0.019425121135665194,0.08410104889365506,0.05746033990989903,0.057080780496684067,0.09578861613463263,0.03450565083490809,0
4276,0.026579634888270944,0.03983762182162074,0.04349947707787847,0.04170771971455557,0.04485936698523577,0.03939408625390636,1
4277,0.02923535224404684,0.03950363938742457,0.04784856623176895,0.04420800436829819,0.04613027163939685,0.043466685485373364,1
4278,0.028582516955349798,0.038911560734821785,0.04666831514798883,0.043244305920573683,0.04528605468327912,0.04267525202670955,1
4279,0.024187818784583627,0.04138355887420442,0.043219633177581214,0.04346981318409836,0.05033125784234542,0.06183920190174697,1
4280,0.029442923416891236,0.05066922344030685,0.04308376565572062,0.04044758909158971,0.06490291571167277,0.1041554699243003,1
4281,0.02516304038067063,0.04710187982564583,0.04177851201313064,0.04016838258156828,0.05865062860249234,0.08314898572178765,1
4282,0.012115018025397741,0.030010517568098482,0.032359417544022384,0.03326913447918546,0.03263320752578038,0.023948088523829427,0
4373,0.021036587369313225,0.06698226231478249,0.039021718795637685,0.03981669553530324,0.09639984347784422,0.04221446130004016,0
4374,0.01732562860851006,0.07908666029413175,0.035437021235705836,0.036110058512976856,0.08152241262410004,0.023787670319671675,0
4375,0.017835702051704004,0.07918344699309648,0.03606324502869864,0.03706691501856013,0.0808089705217695,0.024133192867029033,0
4376,0.025267821399867385,0.04313015533636838,0.04148025505544863,0.044942343453226605,0.04578433416104274,0.03561082940982143,0
4377,0.028317045172985205,0.04438445351788389,0.045676827568566995,0.047998230308126576,0.04850482679811426,0.0403790050859517,0
4378,0.028871831562967982,0.05041360186498381,0.07529482990257261,0.07445716515013619,0.05633869848912767,0.04857479867080724,0
4379,0.017773338141549494,0.040920838701785735,0.06584045919502086,0.07380483440747689,0.051180601116022933,0.036691388070111325,1
4380,0.019612539074551384,0.03734684384207109,0.04575776332186821,0.05037284480956245,0.04922358659158967,0.05603907596501422,0
4381,0.02025467984450061,0.035399964430350754,0.03434171274499827,0.03360240922861378,0.043006860933008116,0.05673812491933915,1
4382,0.011621656461848973,0.024471722697255414,0.026514453891837163,0.026573558655352013,0.02607765997734491,0.01912817713370949,0
4473,0.020108741756231875,0.046614348429050684,0.03503990395168491,0.03439414104533763,0.01827641112525732,0.005909362632367391,1
4474,0.009064140177475028,0.038652076440640164,0.018863344641873624,0.017718189738464236,0.03824418150760144,0.01143184132356126,0
4475,0.009147348969327118,0.03362244576673692,0.018299541286871668,0.018932675881494037,0.03323396976530126,0.011766447639590295,0
4476,0.016362492833982296,0.03504298697194388,0.02772255523515399,0.039134077994099715,0.0371132993648914,0.023094073670806417,0
4477,0.023161853577501133,0.04524065334972731,0.037096731077853225,0.04919519429520289,0.04806141721666962,0.03213097493912165,0
4478,0.026839600760221724,0.07174929582522738,0.1298687884149656,0.13602391454470494,0.07797661696535309,0.058074168265372865,0
4479,0.020920321678511673,0.0642911296023461,0.13648972201287132,0.14184709319201633,0.0738347593641459,0.05428223214856886,0
4480,0.008586559715753886,0.023932419906189013,0.043061295958853205,0.05326955149068751,0.034559891749115036,0.01973886971658839,0
4481,0.01060003433206016,0.028290464315012052,0.03555718438804965,0.042581654131117065,0.029443379315429865,0.01756384377531179,0
4482,0.011186386749741047,0.026938218826151297,0.03094305633907235,0.03483061166507909,0.027580856384020733,0.017791948013608054,0
4573,0.004190995201145352,0.008289358878842185,0.007854398874335632,0.005594550544800948,0.003805592032311533,0.0025438168229941853,1
4574,0.0020818928268468615,0.0045327649010750565,0.00483440898265454,0.0022153338988775448,0.0018079177742976946,0.00100687319237766,0
4575,0.0015116705285603154,0.004731427657999015,0.003982857240278141,0.0030667668800811064,0.005050333065767304,0.0012267319615075697,0
4576,0.0054030472188709485,0.014465385907081622,0.010787490295609815,0.015808907042502176,0.018096423509960838,0.00801370056656239,1
4577,0.01161017923701637,0.029153368774746613,0.02737220988706924,0.03821457709501233,0.03655106018679651,0.017880737605426984,0
4578,0.014369168796594774,0.03919179534931406,0.0610454600244721,0.0681492379259542,0.048855012958618424,0.027773869194571907,0
4579,0.016464408582346414,0.04659153631969433,0.08757816942439804,0.09186458661265182,0.051850173250550746,0.038127168909251725,0
4580,0.00998902273003806,0.02126240743422048,0.025355551648648455,0.029597400618247803,0.02386555084348551,0.016955403956686984,0
4581,0.010657410023609282,0.027625005782465996,0.032492205081335296,0.038361917586307845,0.02851785047595359,0.017224413533153838,0
4582,0.011084649014717188,0.03065805193458804,0.03847671384926581,0.04414030749818637,0.04220160910288243,0.023930944379993435,0
4673,0.011096087342791258,0.014791066973577674,0.012198868375777886,0.012023648112847219,0.018369402035277104,0.01354377889197976,0
4674,0.004874689399382418,0.008116926951257687,0.006834133178598003,0.006036636233905705,0.0095800326320154,0.005496495710188883,0
4675,0.0010236594884492798,0.004901152383578633,0.003254589422533082,0.0037936780192333354,0.00802251929888925,0.0014274003780117843,0
4676,0.0015702571971620179,0.006464377216936042,0.005098336917593959,0.006469559339498677,0.01030466803857987,0.0024866871112606027,1
4677,0.009521115330469197,0.025663328902733377,0.029886812077268465,0.03792567235161969,0.03593948194482616,0.015298098700154425,1
4678,0.02318983851836166,0.057572473911478274,0.05231435925257245,0.07120129213976203,0.07040462928302488,0.04750860151295578,1
4679,0.032430305165783026,0.07121354952233576,0.06034650831466156,0.08122195312020765,0.08083962775815837,0.06380364951714375,1
4680,0.011012381663784935,0.021068605628406026,0.021279205066867455,0.023302379941724086,0.022167588157751276,0.016851835650276446,0
4681,0.011015501648496602,0.02828911160711081,0.03572237092372463,0.03943191714215169,0.04689542701531299,0.027578726190631998,0
4682,0.011642242077260737,0.03371494934421312,0.045448015900134114,0.049872992230641726,0.06340090556080677,0.03496427744872119,0
4773,0.012715032400527848,0.017390611658601618,0.014068987246951822,0.01413432508057625,0.022117144433984028,0.015951581385833025,0
4774,0.00936019455893669,0.013221765301619285,0.010728246201916864,0.010930334177799142,0.01771145030119598,0.011664297094271291,0
4775,0.0021986650922418967,0.007608225545958226,0.0060042713042451346,0.0064695772314392755,0.011050271229117227,0.0031472261940553112,0
4776,0.018064347716951763,0.046943579064677554,0.050534239588232756,0.05622797736107847,0.060259715722383984,0.05344581444144718,0
4777,0.043701030478014206,0.10413887241352901,0.1154647975542133,0.12626832966702742,0.13204076479827417,0.12546349733155537,1
4778,0.037815012314127705,0.08834890212822528,0.0864606861568741,0.10395379150195173,0.10720355053201343,0.0886187397830189,1
4779,0.029607722400359367,0.0634639979679568,0.059978204869558696,0.07604677899081433,0.075060461374987,0.058907583412081736,1
4780,0.014379448374470392,0.02683781924800371,0.028577283377727244,0.03245391922015444,0.030326204695148174,0.02403913650298729,1
4781,0.012258083146853881,0.04124481630470876,0.046239885945029535,0.04733427326082626,0.05458847305206435,0.031834134614623984,1
4782,0.01201843462571451,0.05272528940335213,0.05278463308516982,0.05069241743140557,0.05464973900433471,0.032612842878034926,1
4873,0.03459898680798048,0.08090987636301274,0.06524232799150372,0.0630586052162406,0.08796905942011027,0.06367976353957032,0
4874,0.027182610971239963,0.9550682424897501,0.32854481446194667,0.5456896273027707,0.7908294447706478,0.18986643138146814,0
4875,0.008377846206704818,0.07624231509168128,0.036824892193394396,0.04985950001044698,0.06909864251866811,0.021352885573399795,0
4876,0.01926354941073638,0.05027793665763526,0.052297224830332154,0.05648403792141343,0.06160964422263692,0.050416662224112584,1
4877,0.04579796609501756,0.10970200883053066,0.12084814124842629,0.13136115644760185,0.13837314123644218,0.12996044575731439,1
4878,0.030563962050658082,0.06678966954923557,0.0731094493245758,0.08140033992379475,0.0832979752875802,0.0706676103959201,1
4879,0.023751372439214127,0.05031314049501577,0.05427044869435975,0.06257528147014574,0.06212041028369139,0.04727682861980523,1
4880,0.021200235671085373,0.041389727136304955,0.04604039486042815,0.05328204945389828,0.0491651401884941,0.041004839841061555,1
4881,0.012317415475867479,0.06877050190129569,0.05864739661246415,0.050936113582413865,0.045946466873296204,0.030313157875299226,0
4882,0.011630458975863407,0.07042350451912448,0.05946437531805444,0.05110425430301409,0.0459181604595484,0.030072477635664823,1
4973,0.09608750229247355,0.24086387854602992,0.2013740126552859,0.1969619047187968,0.25735310818969875,0.20662838901926736,1
4974,0.023585320469520846,0.0461283596277937,0.045834427496182814,0.04082562333320043,0.06753735886568836,0.04977195228201275,1
4975,0.008761002344341884,0.021913447809775284,0.020310294667581105,0.019340753618916157,0.027033312180978916,0.01454228155688654,1
4976,0.0089688813278278,0.024191720892183983,0.022602338550660923,0.022883301104431833,0.02838484299651657,0.01616701794569969,1
4977,0.036948402392011546,0.09235292256823732,0.10051168529078647,0.11030570866258807,0.11557602038425141,0.1062007983852115,1
4978,0.025392416940327615,0.05408568323015371,0.05863418024336798,0.06677142897500975,0.06693059141238605,0.052595473549248095,1
4979,0.02370424571107519,0.050507170713933534,0.05444746372488008,0.06276793179905112,0.06243044468851233,0.04738777647936673,1
4980,0.015477230422358877,0.03520543538785996,0.039948933259307685,0.04502472299931611,0.04392454098888577,0.03199195040876229,1
4981,0.00736711710577638,0.03035530654373695,0.031869208411739104,0.031395418609146124,0.03012913958517132,0.017381457687163787,1
4982,0.004824344786172949,0.02043807677049758,0.020351860123502038,0.018894126982250434,0.017811865109277167,0.013889746485800797,1
5073,0.14133384024177081,0.2930237071853823,0.28882635613006974,0.2805807687281265,0.3283051160195612,0.296926342645538,1
5074,0.03682781729302352,0.07819580698874379,0.07063901131872526,0.07632455883879512,0.09203407659878075,0.06796588940916118,1
5075,0.011076189155795108,0.021161393533630408,0.016814642544397462,0.01694946229549597,0.025994545894266422,0.01878298267104158,1
5076,0.0103957316909113,0.020470491820429364,0.01639826192972546,0.016347335567010006,0.025100851838865974,0.01749586795004593,1
5077,0.01770438630860789,0.04053070714825286,0.03967576343994465,0.04274763789347534,0.05033481055476758,0.04245549095988465,0
5078,0.019678515133162898,0.05435672029138195,0.05273763240027861,0.055729183359130297,0.05795655873250088,0.03993935473850145,0
5079,0.017961906428494268,0.05462735591279796,0.05221179016989323,0.05337896696262783,0.056417163526636574,0.03589114704796514,1
5080,0.013150029237650669,0.04727082462587449,0.049315264368331835,0.049091405436647334,0.04618393112007711,0.02726471934671392,1
5081,0.008038857303399736,0.02797469735430712,0.03089222695809858,0.031471895286664595,0.031049665680986098,0.017553424781226137,0
5082,0.004658333455302587,0.0158888721434174,0.01802332339859042,0.01927132886385427,0.01834056379918347,0.011624380949552834,0
5173,0.08944011392358442,0.16852487646544964,0.18842837007171687,0.17864425582814597,0.18808561296244322,0.1655925492622713,1
5174,0.05352412201617505,0.11441579605415776,0.10868812373068405,0.12347669090189857,0.11528977487868179,0.08344078927141702,1
5175,0.02923267729745015,0.06331229700557225,0.054323767903508555,0.06446549807630923,0.06363649443213881,0.04566138647079855,1
5176,0.010978946650399859,0.021393591702380938,0.016753533860673693,0.017075269763464143,0.026329277800999737,0.018889019129154496,0
5177,0.014749774091815033,0.03776836462062513,0.028424865396923567,0.03389640769951503,0.04523476849388381,0.028957245554009334,0
5178,0.01824672621454215,0.050585414590971746,0.044810689833387325,0.04549479558164916,0.05078659788311575,0.03621419459737607,0
5179,0.019232149554886415,0.060248217513253134,0.05528162212832597,0.05456334608646233,0.058840837308332485,0.037750719878526774,1
5180,0.01902790852412339,0.05833217683767385,0.05704769536334384,0.05626308695292452,0.05820116916230112,0.035013843029505755,1
5181,0.016453935214041256,0.052777157274538085,0.051951774389208505,0.0513060486390514,0.0522096693549514,0.03131618423694342,1
5182,0.0034971892229047914,0.009937650561085233,0.010760435300749976,0.014369077803172517,0.01269350192935542,0.007762346879398863,1
